inst,actual,predicted,error
1,50,49.136,ý0.864
2,51,39.1,ý11.9
3,50,43.65,ý6.35
4,50,43.65,ý6.35
5,50,43.65,ý6.35
6,50,49.136,ý0.864
7,50,48.091,ý1.909
8,50,43.65,ý6.35
9,50,39.1,ý10.9
10,50,49.136,ý0.864
11,50,43.65,ý6.35
12,50,43.571,ý6.429
13,50,43.65,ý6.35
14,50,49.136,ý0.864
15,51,49.136,ý1.864
16,50,43.65,ý6.35
17,50,48.091,ý1.909
18,0,43.65,43.65
19,50,43.65,ý6.35
20,50,43.65,ý6.35
21,50,43.571,ý6.429
22,50,49.136,ý0.864
23,50,43.65,ý6.35
24,50,43.65,ý6.35
25,60,49.136,ý10.864
26,50,49.136,ý0.864
27,50,48.091,ý1.909
28,50,48.091,ý1.909
29,50,49.136,ý0.864
30,50,49.136,ý0.864
31,50,49.136,ý0.864
32,50,49.136,ý0.864
33,50,50,0
34,50,43.65,ý6.35
35,50,43.65,ý6.35
36,50,48.091,ý1.909
37,50,39.1,ý10.9
38,50,49.136,ý0.864
39,51,40,ý11
40,10,39.1,29.1
41,50,49.136,ý0.864
42,50,43.65,ý6.35
43,50,48.091,ý1.909
44,20,43.65,23.65
45,18,48.091,30.091
46,100,49.136,ý50.864
47,50,49.136,ý0.864
48,50,49.136,ý0.864
49,50,49.136,ý0.864
50,50,43.65,ý6.35
51,50,49.136,ý0.864
52,50,48.091,ý1.909
53,40,45,5
54,50,43.571,ý6.429
55,50,43.65,ý6.35
56,50,50,0
57,42,49.136,7.136
58,50,49.136,ý0.864
59,0,39.1,39.1
60,50,39.1,ý10.9
61,10,49.136,39.136
62,50,49.136,ý0.864
63,50,49.136,ý0.864
64,50,49.136,ý0.864
65,50,43.65,ý6.35
66,50,48.091,ý1.909
67,50,49.136,ý0.864
68,50,49.136,ý0.864
69,45,43.571,ý1.429
70,60,48.091,ý11.909
71,50,48.091,ý1.909
72,50,45,ý5
73,55,47.5,ý7.5
74,50,48.091,ý1.909
75,50,48.091,ý1.909
76,50,49.136,ý0.864
